DIRECTORIO,P6020,P6040,P6051,P5502,P767,P6081,P6083,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927
7253984,2,65,2,6.0,16.0,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7253984,1,72,1,6.0,47.0,3,3,10.0,10.0,9.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0
7253988,2,71,2,6.0,,3,3,7.0,99.0,7.0,7.0,7.0,7.0,9.0,5.0,0.0,8.0,8.0
7253988,1,71,1,6.0,,3,3,7.0,4.0,4.0,4.0,3.0,3.0,5.0,10.0,8.0,7.0,7.0
7253992,2,66,1,4.0,,2,2,7.0,5.0,7.0,7.0,7.0,7.0,8.0,5.0,3.0,8.0,7.0
7253993,2,76,2,6.0,60.0,3,3,9.0,99.0,7.0,9.0,7.0,9.0,8.0,1.0,0.0,10.0,8.0
7253993,1,80,1,6.0,,3,3,7.0,9.0,9.0,9.0,9.0,9.0,8.0,2.0,0.0,9.0,7.0
7253994,1,81,1,6.0,,3,2,8.0,9.0,4.0,7.0,9.0,10.0,10.0,0.0,0.0,10.0,10.0
7253994,2,81,2,6.0,,3,3,4.0,8.0,3.0,3.0,3.0,9.0,8.0,8.0,0.0,10.0,5.0
7253995,2,68,1,3.0,,3,2,5.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,8.0,8.0,5.0
7253996,2,69,9,5.0,,3,3,5.0,5.0,4.0,4.0,5.0,5.0,5.0,9.0,7.0,9.0,5.0
7253998,2,64,7,5.0,5.0,3,3,10.0,9.0,9.0,8.0,10.0,10.0,8.0,3.0,5.0,10.0,10.0
7253998,2,70,1,4.0,41.0,3,3,10.0,9.0,7.0,7.0,9.0,8.0,8.0,0.0,2.0,7.0,8.0
7254002,1,84,1,3.0,,3,3,10.0,2.0,5.0,8.0,2.0,2.0,10.0,7.0,2.0,9.0,9.0
7254004,1,60,1,6.0,40.0,2,2,6.0,4.0,5.0,5.0,7.0,2.0,5.0,3.0,2.0,9.0,8.0
7254005,2,67,7,5.0,,3,3,9.0,9.0,8.0,8.0,10.0,10.0,10.0,8.0,3.0,8.0,10.0
7254005,2,74,1,5.0,,3,3,10.0,10.0,5.0,3.0,8.0,10.0,8.0,7.0,4.0,10.0,10.0
7254012,2,90,7,5.0,,3,3,10.0,99.0,10.0,9.0,9.0,10.0,10.0,0.0,2.0,10.0,9.0
7254012,2,73,1,4.0,,3,3,9.0,8.0,10.0,8.0,9.0,7.0,8.0,5.0,0.0,9.0,10.0
7254016,1,79,1,6.0,,3,3,9.0,9.0,5.0,8.0,10.0,10.0,10.0,7.0,0.0,10.0,10.0
7254016,2,72,2,6.0,,3,3,8.0,99.0,4.0,8.0,8.0,8.0,8.0,8.0,0.0,7.0,6.0
7254023,2,63,2,6.0,30.0,3,2,8.0,7.0,7.0,7.0,7.0,8.0,9.0,6.0,7.0,9.0,7.0
7254023,1,65,1,6.0,,3,3,8.0,3.0,4.0,9.0,4.0,8.0,8.0,4.0,2.0,8.0,8.0
7254025,1,65,1,6.0,,3,3,6.0,7.0,4.0,7.0,7.0,5.0,5.0,4.0,3.0,8.0,6.0
7254025,2,66,2,6.0,,3,3,2.0,99.0,0.0,5.0,0.0,3.0,3.0,6.0,6.0,3.0,2.0
7254026,1,61,1,6.0,,3,2,2.0,1.0,5.0,1.0,1.0,6.0,5.0,4.0,8.0,4.0,3.0
7254026,2,62,2,6.0,,3,2,8.0,6.0,6.0,3.0,4.0,9.0,8.0,3.0,3.0,7.0,7.0
7254027,2,80,2,6.0,,2,3,5.0,5.0,2.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0
7254027,1,88,1,6.0,,3,3,8.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7254031,1,62,1,6.0,,3,2,6.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0
7254031,2,72,2,6.0,,3,3,7.0,2.0,4.0,5.0,1.0,5.0,1.0,7.0,7.0,5.0,6.0
7254032,2,70,2,6.0,,3,3,9.0,7.0,6.0,9.0,7.0,9.0,9.0,2.0,1.0,8.0,8.0
7254032,1,74,1,6.0,,2,2,7.0,5.0,7.0,8.0,9.0,9.0,9.0,2.0,1.0,8.0,7.0
7254042,1,70,1,6.0,,3,3,6.0,5.0,5.0,8.0,8.0,7.0,8.0,5.0,2.0,10.0,7.0
7254043,1,60,1,6.0,,3,3,7.0,3.0,5.0,4.0,3.0,5.0,6.0,4.0,5.0,6.0,5.0
7254046,2,64,7,5.0,,3,3,7.0,7.0,4.0,8.0,7.0,8.0,6.0,6.0,6.0,7.0,7.0
7254048,2,72,2,6.0,,3,3,6.0,99.0,6.0,7.0,8.0,8.0,8.0,2.0,2.0,9.0,8.0
7254048,1,72,1,6.0,,3,1,6.0,3.0,4.0,7.0,8.0,7.0,7.0,3.0,2.0,7.0,8.0
7254048,2,90,5,3.0,,3,3,3.0,99.0,2.0,3.0,2.0,3.0,5.0,8.0,7.0,3.0,3.0
7254054,1,63,1,6.0,,3,2,8.0,8.0,9.0,6.0,7.0,6.0,8.0,6.0,3.0,8.0,5.0
7254057,2,71,1,3.0,,3,3,8.0,4.0,7.0,7.0,8.0,7.0,7.0,3.0,4.0,8.0,8.0
7254059,1,89,5,3.0,,3,3,4.0,99.0,4.0,5.0,7.0,7.0,8.0,2.0,3.0,5.0,7.0
7254063,1,64,1,6.0,,3,3,8.0,2.0,9.0,7.0,2.0,8.0,8.0,1.0,1.0,9.0,8.0
7254063,2,65,2,6.0,,3,3,7.0,99.0,7.0,7.0,5.0,8.0,8.0,2.0,3.0,8.0,7.0
7254064,2,70,1,3.0,,3,3,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0
7254065,1,80,5,3.0,55.0,3,3,8.0,99.0,5.0,8.0,5.0,5.0,6.0,7.0,8.0,9.0,5.0
7254069,1,78,1,5.0,,3,3,6.0,4.0,4.0,6.0,6.0,6.0,9.0,2.0,1.0,8.0,6.0
7254076,2,65,1,3.0,,3,3,4.0,4.0,4.0,5.0,3.0,4.0,4.0,9.0,8.0,6.0,5.0
7254079,2,61,1,4.0,,3,3,2.0,0.0,1.0,1.0,8.0,2.0,2.0,8.0,8.0,8.0,6.0
7254085,2,77,1,5.0,,3,3,7.0,6.0,5.0,9.0,2.0,5.0,8.0,3.0,2.0,9.0,2.0
7254089,2,68,7,5.0,,3,3,6.0,99.0,8.0,7.0,0.0,5.0,7.0,5.0,6.0,6.0,4.0
7254089,2,63,1,5.0,,3,3,9.0,99.0,7.0,9.0,0.0,8.0,8.0,5.0,3.0,6.0,6.0
7254094,2,84,1,3.0,,3,3,8.0,3.0,3.0,7.0,3.0,8.0,4.0,8.0,4.0,7.0,5.0
7254096,2,97,1,3.0,,3,3,8.0,4.0,3.0,7.0,7.0,9.0,9.0,0.0,0.0,8.0,8.0
7254101,2,70,1,3.0,,2,2,8.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0
7254107,1,66,1,1.0,,3,3,7.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0
7254108,1,60,1,6.0,,3,3,8.0,8.0,9.0,7.0,7.0,7.0,9.0,3.0,0.0,10.0,5.0
7254108,2,64,2,6.0,,3,2,9.0,99.0,2.0,6.0,2.0,1.0,7.0,8.0,7.0,10.0,7.0
7254113,2,69,1,3.0,,3,3,7.0,99.0,5.0,10.0,2.0,7.0,7.0,4.0,6.0,4.0,7.0
7254114,2,67,2,6.0,,3,2,8.0,8.0,7.0,8.0,8.0,8.0,8.0,4.0,4.0,8.0,7.0
7254114,1,67,1,6.0,,3,3,6.0,7.0,4.0,7.0,6.0,8.0,8.0,4.0,3.0,7.0,9.0
7254116,1,65,1,4.0,,3,3,1.0,99.0,3.0,6.0,3.0,6.0,2.0,6.0,3.0,6.0,7.0
7254117,2,66,1,4.0,,3,3,7.0,2.0,6.0,1.0,3.0,7.0,7.0,8.0,4.0,7.0,8.0
7254122,2,66,1,4.0,9.0,3,3,7.0,7.0,3.0,8.0,8.0,7.0,4.0,8.0,8.0,7.0,7.0
7254128,2,80,1,3.0,25.0,3,3,7.0,8.0,4.0,6.0,3.0,5.0,5.0,7.0,7.0,9.0,9.0
7254128,1,67,7,5.0,,3,3,5.0,4.0,5.0,7.0,5.0,4.0,6.0,6.0,6.0,8.0,7.0
7254128,1,61,7,5.0,,3,3,7.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,8.0,8.0
7254130,1,70,1,3.0,,3,3,8.0,8.0,9.0,4.0,8.0,8.0,9.0,0.0,0.0,8.0,10.0
7254140,1,73,1,4.0,,3,3,6.0,7.0,6.0,5.0,3.0,4.0,5.0,4.0,3.0,7.0,7.0
7254146,1,68,1,6.0,40.0,3,3,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0
7254150,1,78,1,2.0,20.0,2,2,4.0,3.0,6.0,8.0,1.0,2.0,7.0,2.0,1.0,9.0,7.0
7254150,2,72,2,2.0,20.0,3,2,4.0,5.0,6.0,6.0,2.0,3.0,7.0,1.0,1.0,8.0,6.0
7254152,2,83,1,3.0,50.0,3,2,5.0,5.0,3.0,5.0,2.0,5.0,4.0,6.0,5.0,5.0,5.0
7254153,1,71,1,2.0,60.0,3,3,7.0,7.0,3.0,7.0,7.0,8.0,8.0,2.0,1.0,8.0,8.0
7254153,2,74,2,2.0,50.0,3,3,3.0,99.0,6.0,7.0,7.0,7.0,4.0,9.0,7.0,7.0,6.0
7254155,2,72,5,3.0,60.0,3,3,2.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
7254156,1,60,2,2.0,8.0,2,2,7.0,6.0,7.0,4.0,5.0,7.0,4.0,6.0,5.0,7.0,6.0
7254157,2,65,1,5.0,,3,3,6.0,5.0,7.0,5.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0
7254169,1,81,1,6.0,,3,3,4.0,3.0,4.0,4.0,8.0,8.0,3.0,0.0,0.0,5.0,6.0
7254180,2,74,1,4.0,,3,3,8.0,5.0,6.0,7.0,8.0,6.0,2.0,7.0,7.0,3.0,4.0
7254181,1,64,2,6.0,27.0,3,3,4.0,5.0,5.0,6.0,5.0,4.0,4.0,6.0,4.0,5.0,5.0
7254189,2,75,1,3.0,,3,3,5.0,5.0,1.0,5.0,5.0,7.0,2.0,3.0,10.0,5.0,0.0
7254191,2,61,2,2.0,,3,3,7.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0,4.0,8.0,8.0
7254191,1,60,1,2.0,,3,3,8.0,8.0,8.0,9.0,8.0,8.0,9.0,5.0,4.0,9.0,8.0
7254192,2,90,1,3.0,,3,3,4.0,3.0,0.0,10.0,0.0,2.0,3.0,5.0,4.0,4.0,2.0
7254193,2,86,1,5.0,,3,3,7.0,8.0,4.0,10.0,8.0,8.0,1.0,7.0,8.0,10.0,5.0
7254193,2,65,3,4.0,,3,1,5.0,5.0,9.0,9.0,7.0,6.0,9.0,1.0,0.0,9.0,8.0
7254199,2,86,2,6.0,,3,3,9.0,1.0,3.0,5.0,6.0,8.0,7.0,5.0,0.0,10.0,5.0
7254199,1,91,1,6.0,,3,3,8.0,5.0,4.0,9.0,0.0,7.0,3.0,3.0,1.0,8.0,5.0
7254205,1,79,2,2.0,,3,3,6.0,3.0,7.0,10.0,4.0,6.0,10.0,0.0,0.0,6.0,5.0
7254205,2,81,1,2.0,,3,3,5.0,6.0,2.0,6.0,5.0,4.0,6.0,6.0,0.0,4.0,6.0
7254209,2,69,1,3.0,,3,3,8.0,9.0,8.0,8.0,8.0,8.0,8.0,5.0,2.0,8.0,7.0
7254210,1,61,1,5.0,,3,3,5.0,4.0,8.0,8.0,5.0,8.0,6.0,2.0,1.0,5.0,2.0
7254211,1,67,2,6.0,,2,3,8.0,8.0,8.0,7.0,8.0,8.0,8.0,2.0,1.0,9.0,8.0
7254217,2,81,1,3.0,,3,3,9.0,3.0,8.0,8.0,8.0,6.0,8.0,1.0,1.0,9.0,7.0
7254218,2,90,1,3.0,,3,3,8.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,2.0,9.0,8.0
7254221,1,90,6,6.0,,3,3,6.0,6.0,4.0,7.0,8.0,9.0,4.0,0.0,1.0,8.0,6.0
7254223,1,75,1,2.0,,3,3,8.0,9.0,8.0,8.0,6.0,7.0,7.0,4.0,3.0,8.0,7.0
7254226,2,66,1,4.0,,3,3,5.0,99.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
7254230,1,60,1,4.0,,3,3,7.0,7.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0
7254235,1,74,1,6.0,,3,3,6.0,5.0,3.0,10.0,5.0,5.0,6.0,6.0,0.0,6.0,6.0
7254235,2,75,2,6.0,,3,3,5.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0
7254240,1,63,1,4.0,,3,3,0.0,99.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0
7254241,2,61,1,2.0,,2,3,8.0,8.0,8.0,8.0,7.0,7.0,8.0,4.0,3.0,9.0,7.0
7254241,1,62,2,2.0,,3,3,8.0,8.0,9.0,8.0,7.0,7.0,7.0,3.0,3.0,7.0,7.0
7254243,2,73,2,6.0,7.0,3,3,9.0,6.0,7.0,8.0,8.0,8.0,8.0,1.0,1.0,9.0,8.0
7254243,1,79,1,6.0,7.0,3,3,9.0,1.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,9.0,5.0
7254245,1,72,1,3.0,60.0,3,3,9.0,8.0,8.0,8.0,8.0,8.0,6.0,5.0,4.0,8.0,7.0
7254246,2,78,1,3.0,,3,3,9.0,6.0,8.0,8.0,8.0,8.0,6.0,1.0,1.0,8.0,8.0
7254250,2,72,1,3.0,,3,3,9.0,8.0,8.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0
7254274,1,62,1,2.0,,2,2,4.0,3.0,7.0,1.0,8.0,4.0,7.0,4.0,3.0,4.0,4.0
7254280,1,70,1,4.0,12.0,3,2,7.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,7.0
7254290,1,61,5,3.0,,3,3,8.0,8.0,5.0,7.0,4.0,5.0,7.0,3.0,6.0,8.0,4.0
7254303,2,77,1,3.0,25.0,3,3,3.0,6.0,4.0,5.0,5.0,3.0,1.0,9.0,9.0,9.0,8.0
7254310,1,80,1,6.0,22.0,3,3,8.0,8.0,6.0,7.0,7.0,8.0,8.0,6.0,4.0,9.0,8.0
7254310,2,76,2,6.0,,2,2,9.0,8.0,9.0,7.0,8.0,7.0,8.0,5.0,3.0,9.0,8.0
7254318,2,72,1,3.0,51.0,3,3,5.0,5.0,5.0,5.0,6.0,5.0,7.0,8.0,7.0,9.0,9.0
7254322,2,61,1,4.0,38.0,3,3,10.0,10.0,3.0,7.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0
7254323,1,60,1,2.0,45.0,3,3,8.0,8.0,9.0,9.0,8.0,8.0,8.0,1.0,0.0,10.0,8.0
7254336,1,64,2,2.0,,3,3,8.0,5.0,4.0,6.0,4.0,4.0,5.0,0.0,0.0,6.0,7.0
7254346,1,60,14,5.0,1.0,3,3,7.0,5.0,7.0,2.0,6.0,6.0,7.0,4.0,3.0,7.0,7.0
7254347,1,76,1,3.0,,2,2,10.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,7.0
7254365,2,60,1,4.0,40.0,3,3,8.0,8.0,7.0,4.0,5.0,5.0,7.0,2.0,3.0,8.0,8.0
7254367,1,70,1,5.0,,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7254374,1,61,1,3.0,,3,3,8.0,9.0,8.0,5.0,5.0,7.0,6.0,2.0,2.0,7.0,7.0
7254383,1,81,1,6.0,54.0,3,2,6.0,6.0,6.0,7.0,8.0,8.0,9.0,0.0,0.0,6.0,8.0
7254383,2,78,2,6.0,54.0,3,2,7.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,7.0
7254385,1,75,1,4.0,,3,3,6.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0,4.0,4.0,5.0
7254388,1,63,1,5.0,10.0,3,2,1.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0
7254391,1,69,1,3.0,,3,2,7.0,4.0,5.0,6.0,0.0,9.0,6.0,3.0,4.0,5.0,7.0
7254393,2,70,9,5.0,12.0,3,3,9.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,0.0,9.0,9.0
7254399,1,64,1,5.0,,3,2,8.0,8.0,9.0,9.0,9.0,9.0,8.0,2.0,3.0,9.0,9.0
7254408,2,81,1,3.0,80.0,3,3,8.0,8.0,10.0,0.0,2.0,1.0,9.0,8.0,10.0,10.0,7.0
7254415,1,63,3,5.0,5.0,3,1,7.0,3.0,8.0,1.0,7.0,7.0,9.0,9.0,9.0,10.0,7.0
7254415,2,81,1,3.0,60.0,2,3,8.0,8.0,9.0,1.0,8.0,7.0,9.0,9.0,0.0,10.0,9.0
7254436,2,63,1,3.0,,3,3,6.0,2.0,7.0,5.0,5.0,6.0,5.0,6.0,3.0,7.0,7.0
7254442,1,70,1,5.0,50.0,3,3,6.0,0.0,8.0,5.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0
7254446,2,70,5,6.0,,3,3,7.0,3.0,6.0,6.0,7.0,5.0,6.0,7.0,3.0,8.0,7.0
7254446,1,70,5,6.0,,3,3,6.0,6.0,7.0,6.0,7.0,7.0,6.0,2.0,5.0,6.0,5.0
7254448,2,88,5,3.0,,3,3,7.0,4.0,6.0,5.0,5.0,5.0,7.0,4.0,6.0,7.0,8.0
7254448,1,75,2,2.0,,3,3,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,8.0,8.0
7254477,1,68,1,6.0,,3,3,4.0,3.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,3.0
7254481,2,75,1,3.0,,3,3,6.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0
7254501,1,62,5,5.0,,3,3,5.0,6.0,6.0,6.0,4.0,5.0,10.0,0.0,0.0,8.0,8.0
7254503,1,63,1,6.0,,2,2,7.0,6.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,6.0,7.0
7254506,2,92,6,3.0,13.0,3,3,8.0,99.0,5.0,7.0,3.0,6.0,10.0,0.0,0.0,5.0,8.0
7254508,1,68,1,6.0,11.0,3,2,10.0,99.0,8.0,4.0,1.0,6.0,10.0,0.0,0.0,4.0,10.0
7254508,2,65,2,6.0,11.0,3,2,8.0,99.0,8.0,8.0,1.0,6.0,10.0,0.0,0.0,5.0,10.0
7254524,1,67,1,6.0,,2,2,8.0,9.0,8.0,9.0,9.0,8.0,8.0,0.0,0.0,8.0,8.0
7254525,2,66,1,3.0,40.0,3,3,8.0,8.0,8.0,8.0,8.0,5.0,7.0,2.0,2.0,9.0,8.0
7254526,1,72,1,6.0,,2,2,6.0,4.0,6.0,7.0,7.0,5.0,5.0,0.0,0.0,7.0,7.0
7254526,2,76,2,6.0,,2,2,7.0,99.0,6.0,7.0,7.0,6.0,6.0,0.0,0.0,6.0,8.0
7254528,2,69,1,5.0,30.0,3,3,7.0,2.0,7.0,7.0,5.0,5.0,7.0,2.0,2.0,7.0,6.0
7254532,2,70,6,3.0,1.0,3,3,10.0,99.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,10.0,6.0
7254534,2,80,5,3.0,,3,3,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,10.0,10.0
7254541,1,68,1,6.0,40.0,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7254542,2,67,1,4.0,,2,2,8.0,99.0,3.0,8.0,7.0,7.0,8.0,1.0,2.0,8.0,7.0
7254546,2,60,1,4.0,,3,2,8.0,6.0,6.0,6.0,8.0,8.0,10.0,0.0,0.0,10.0,10.0
7254558,2,60,5,4.0,0.0,3,3,9.0,7.0,8.0,9.0,8.0,7.0,9.0,5.0,2.0,9.0,1.0
7254560,1,61,1,2.0,,3,3,8.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,0.0,9.0,7.0
7254562,1,75,2,2.0,35.0,3,3,10.0,2.0,3.0,10.0,8.0,10.0,10.0,0.0,0.0,10.0,10.0
7254563,1,82,6,3.0,,3,3,7.0,7.0,7.0,7.0,8.0,7.0,8.0,3.0,2.0,7.0,7.0
7254567,2,71,1,4.0,,2,2,8.0,8.0,7.0,8.0,9.0,7.0,9.0,2.0,4.0,10.0,8.0
7254568,2,73,9,3.0,,3,3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,2.0,9.0,7.0
7254572,1,85,6,5.0,,3,3,7.0,3.0,5.0,8.0,3.0,5.0,6.0,2.0,3.0,4.0,4.0
7254591,2,72,1,3.0,46.0,3,3,9.0,5.0,6.0,9.0,8.0,8.0,8.0,0.0,0.0,10.0,8.0
7254595,2,60,1,3.0,43.0,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7254597,2,68,5,4.0,24.0,3,3,10.0,3.0,9.0,9.0,8.0,8.0,10.0,0.0,0.0,10.0,10.0
7254605,1,70,6,3.0,0.0,3,3,8.0,6.0,7.0,8.0,7.0,7.0,7.0,5.0,7.0,8.0,7.0
7254609,1,66,1,2.0,,2,2,7.0,5.0,4.0,6.0,6.0,7.0,10.0,6.0,8.0,8.0,7.0
7254612,2,60,1,2.0,,3,3,6.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0
7254614,2,73,2,6.0,20.0,2,2,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
7254614,1,87,1,6.0,10.0,2,2,5.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0
7254618,2,61,2,2.0,,3,3,7.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
7254620,2,64,1,3.0,,3,3,8.0,7.0,7.0,8.0,7.0,3.0,8.0,3.0,3.0,9.0,5.0
7254621,1,62,1,4.0,,3,3,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0
7254629,1,60,1,6.0,,3,2,8.0,8.0,7.0,8.0,6.0,3.0,6.0,8.0,6.0,10.0,7.0
7254634,1,69,1,2.0,30.0,2,2,7.0,6.0,7.0,7.0,5.0,4.0,7.0,3.0,3.0,8.0,6.0
7254637,1,61,1,2.0,39.0,2,2,7.0,7.0,7.0,5.0,8.0,6.0,7.0,8.0,5.0,6.0,5.0
7254641,2,67,2,6.0,,3,3,6.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,5.0,6.0,6.0
7254641,1,78,1,6.0,,3,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0
7254642,1,63,1,2.0,,3,2,8.0,8.0,3.0,5.0,5.0,5.0,7.0,5.0,3.0,9.0,8.0
7254647,2,63,1,2.0,40.0,2,2,6.0,7.0,5.0,7.0,5.0,6.0,7.0,3.0,7.0,9.0,7.0
7254648,2,63,1,3.0,,3,2,7.0,6.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,9.0,6.0
7254652,1,75,1,5.0,,3,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7254658,1,71,1,6.0,10.0,3,3,8.0,8.0,8.0,9.0,7.0,6.0,7.0,7.0,7.0,9.0,8.0
7254659,1,71,1,5.0,40.0,3,3,7.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0
7254662,2,69,2,2.0,,3,3,8.0,8.0,5.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0
7254671,2,60,2,2.0,5.0,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0
7254671,1,68,1,2.0,5.0,3,3,5.0,1.0,4.0,5.0,4.0,4.0,3.0,7.0,5.0,7.0,4.0
7254675,2,75,5,4.0,1.0,2,2,7.0,8.0,6.0,10.0,5.0,7.0,9.0,3.0,3.0,1.0,7.0
7254683,1,62,1,5.0,,3,2,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,5.0,4.0
7254691,1,70,1,4.0,,3,3,6.0,6.0,6.0,7.0,6.0,6.0,5.0,7.0,4.0,5.0,6.0
7254695,2,73,9,3.0,,3,3,9.0,7.0,9.0,8.0,8.0,5.0,5.0,4.0,5.0,6.0,7.0
7254702,1,60,1,5.0,,3,2,5.0,3.0,3.0,5.0,5.0,3.0,6.0,6.0,4.0,8.0,5.0
7254716,2,90,6,3.0,,3,3,8.0,99.0,2.0,10.0,10.0,10.0,6.0,0.0,0.0,10.0,5.0
7254716,1,67,1,6.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7254717,1,83,1,6.0,,3,3,7.0,9.0,8.0,8.0,7.0,7.0,9.0,9.0,6.0,7.0,6.0
7254717,2,80,2,6.0,,3,3,8.0,8.0,6.0,9.0,6.0,7.0,7.0,9.0,7.0,9.0,8.0
7254720,1,78,5,5.0,20.0,2,2,6.0,6.0,8.0,7.0,8.0,6.0,4.0,6.0,5.0,7.0,7.0
7254721,1,75,1,6.0,,3,3,6.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0
7254721,2,71,2,6.0,,3,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7254722,2,61,1,6.0,,2,2,7.0,7.0,3.0,6.0,2.0,4.0,3.0,5.0,4.0,10.0,6.0
7254733,1,60,1,2.0,,3,3,8.0,7.0,5.0,8.0,6.0,4.0,6.0,0.0,0.0,10.0,7.0
7254737,1,75,1,6.0,5.0,2,3,5.0,2.0,1.0,10.0,7.0,6.0,7.0,4.0,2.0,8.0,5.0
7254737,2,66,2,6.0,5.0,3,3,5.0,4.0,0.0,10.0,5.0,5.0,10.0,4.0,0.0,8.0,5.0
7254739,1,67,1,3.0,,3,3,5.0,6.0,5.0,7.0,6.0,6.0,7.0,0.0,0.0,7.0,6.0
7254744,1,60,1,4.0,35.0,3,3,8.0,5.0,4.0,6.0,5.0,6.0,8.0,2.0,0.0,7.0,6.0
7254750,2,61,1,4.0,30.0,3,3,5.0,2.0,7.0,8.0,5.0,8.0,7.0,0.0,0.0,5.0,6.0
7254752,1,62,1,2.0,,3,2,8.0,5.0,7.0,10.0,7.0,8.0,10.0,0.0,0.0,10.0,7.0
7254756,1,65,1,4.0,33.0,3,2,7.0,6.0,3.0,6.0,7.0,4.0,6.0,1.0,0.0,8.0,7.0
7254758,2,61,2,2.0,46.0,3,2,8.0,7.0,5.0,7.0,5.0,6.0,7.0,0.0,0.0,8.0,8.0
7254758,1,70,1,2.0,54.0,3,3,8.0,8.0,5.0,6.0,6.0,6.0,7.0,1.0,0.0,7.0,6.0
7254759,2,60,2,2.0,33.0,3,2,6.0,99.0,4.0,7.0,9.0,5.0,7.0,2.0,0.0,9.0,10.0
7254759,1,67,1,2.0,48.0,3,3,4.0,5.0,4.0,9.0,10.0,4.0,6.0,3.0,5.0,10.0,6.0
7254761,2,65,2,2.0,34.0,2,2,8.0,7.0,9.0,9.0,6.0,5.0,8.0,0.0,0.0,10.0,7.0
7254761,1,68,1,2.0,37.0,3,3,7.0,6.0,3.0,2.0,4.0,4.0,8.0,2.0,0.0,7.0,7.0
