DIRECTORIO,P6020,P6040,P6051,P5502,P767,P6081,P6083,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927
7247467,2,79,2,2.0,40.0,3,2,9.0,7.0,8.0,8.0,7.0,7.0,8.0,4.0,3.0,8.0,8.0
7247473,1,65,1,2.0,50.0,3,3,10.0,3.0,5.0,8.0,8.0,5.0,6.0,5.0,4.0,9.0,6.0
7247474,1,63,1,5.0,1.0,3,3,6.0,4.0,7.0,6.0,3.0,5.0,5.0,5.0,5.0,8.0,5.0
7247484,2,63,1,3.0,8.0,3,3,8.0,4.0,8.0,6.0,5.0,8.0,9.0,2.0,0.0,10.0,10.0
7247487,2,60,1,3.0,,1,3,8.0,4.0,7.0,6.0,4.0,6.0,8.0,5.0,2.0,10.0,8.0
7247487,1,96,5,3.0,,3,3,8.0,7.0,7.0,5.0,3.0,3.0,6.0,3.0,2.0,4.0,7.0
7247489,1,83,1,2.0,50.0,3,3,8.0,8.0,9.0,8.0,2.0,7.0,8.0,3.0,3.0,8.0,8.0
7247489,2,76,2,2.0,50.0,3,3,8.0,99.0,6.0,6.0,0.0,7.0,8.0,3.0,2.0,8.0,8.0
7247493,1,72,2,2.0,,3,3,8.0,99.0,5.0,7.0,0.0,7.0,7.0,4.0,2.0,7.0,7.0
7247493,2,71,1,2.0,,3,3,7.0,4.0,7.0,7.0,0.0,3.0,8.0,2.0,2.0,7.0,7.0
7247495,1,66,1,6.0,,3,3,8.0,8.0,6.0,7.0,8.0,7.0,8.0,3.0,3.0,8.0,7.0
7247506,1,66,1,6.0,2.0,3,3,6.0,4.0,6.0,7.0,0.0,7.0,4.0,4.0,4.0,6.0,7.0
7247506,2,62,2,6.0,1.0,3,3,7.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
7247509,1,64,1,2.0,,3,2,10.0,5.0,7.0,8.0,5.0,8.0,10.0,5.0,5.0,10.0,10.0
7247510,1,84,5,3.0,53.0,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7247517,1,61,1,2.0,,3,2,7.0,3.0,5.0,9.0,1.0,7.0,4.0,8.0,4.0,7.0,5.0
7247518,2,60,1,3.0,,3,3,10.0,4.0,5.0,10.0,8.0,10.0,10.0,0.0,0.0,10.0,5.0
7247520,1,60,1,2.0,,2,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7247538,2,68,1,4.0,,2,2,9.0,8.0,9.0,7.0,8.0,9.0,9.0,1.0,1.0,10.0,10.0
7247541,1,73,1,6.0,,2,2,8.0,8.0,6.0,6.0,7.0,7.0,8.0,4.0,2.0,8.0,8.0
7247541,2,73,2,6.0,,2,2,7.0,7.0,7.0,6.0,6.0,7.0,8.0,3.0,1.0,8.0,7.0
7247546,1,63,1,2.0,,3,3,8.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0
7247546,2,71,2,2.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,6.0,10.0,10.0
7247549,1,61,1,2.0,40.0,2,3,9.0,6.0,9.0,6.0,5.0,6.0,8.0,1.0,2.0,10.0,10.0
7247549,2,63,2,2.0,,2,2,8.0,7.0,8.0,6.0,5.0,7.0,9.0,2.0,2.0,10.0,10.0
7247550,2,75,1,5.0,,3,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0
7247551,2,63,2,6.0,29.0,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0
7247552,2,70,1,4.0,,2,3,9.0,8.0,9.0,5.0,9.0,10.0,8.0,1.0,0.0,10.0,10.0
7247553,1,77,1,6.0,20.0,3,3,9.0,8.0,8.0,8.0,9.0,10.0,10.0,0.0,0.0,10.0,9.0
7247553,2,65,2,6.0,20.0,3,3,9.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0
7247558,1,60,1,5.0,,2,2,8.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
